序号,文件,相关度,相关度分值,职位,招聘主体,薪资,学历,招聘人数,专业,地区,更新时间,所属行业,公司性质,公司规模,技术关键词,同模板条数,JD指纹,详情页
220,220-游戏用户运营专员（玩家社群方向）-贵州云序科技有限公司.md,直接相关,4,游戏用户运营专员（玩家社群方向）,贵州云序科技有限公司,3k-6k,专科及以上,招聘 5人,专业不限,贵州省贵阳市,07-03 09:45,网络游戏,民营企业,1-49人,,1,d57fb500bf75,https://www.ncss.cn/student/jobs/E7MpDi6245s4VV2TCQLNXs/detail.html
221,221-运营助理-重庆捷音企业管理有限公司.md,直接相关,4,运营助理,重庆捷音企业管理有限公司,6k-11k,专科及以上,招聘 20人,不限,重庆市两江新区,07-24 13:22,批发/零售,民营企业,50-99人,,1,aa7a7ec3b707,https://www.ncss.cn/student/jobs/6BZeKhrVULiA53HvzBghJn/detail.html
222,222-活动策划-上海爱丽艺术品有限公司.md,直接相关,4,活动策划,上海爱丽艺术品有限公司,0.1k-9k,不限,招聘 9人,人力资源管理 工商管理 行政管理 公共管理 劳动与社会保障 心理学 法学 劳动法 市场营销 电子商务 传媒 影视表演 数据分析,全国,08-03 14:14,互联网/电子商务,民营企业,1-49人,,1,0e71a053b508,https://www.ncss.cn/student/jobs/3xUWPXm8cj58iWB4zjTuwE/detail.html
223,223-市场助理-华湖（浙江）航工科技有限公司.md,直接相关,4,市场助理,华湖（浙江）航工科技有限公司,3k-6k,专科及以上,招聘 4人,不限,浙江省嘉兴市,06-11 11:06,航空/航天研究与制造,民营企业,50-99人,,1,9230c9bbbf8d,https://www.ncss.cn/student/jobs/MgRoZZXS1EiDmj7ZCq8Y91/detail.html
224,224-市场营销专员-淘大集（武汉）供应链有限公司.md,直接相关,4,市场营销专员,淘大集（武汉）供应链有限公司,6k-12k,专科及以上,招聘 10人,专业不限,广东省广州市市辖区,07-21 14:32,互联网/电子商务,民营企业,500-999人,,1,d2ecf2d34f2c,https://www.ncss.cn/student/jobs/QwetEzEpDTDkaBqVcsvLYZ/detail.html
225,225-高德地图电话推广专员（双休不加班）-山西智胜传媒科技股份有限公司.md,直接相关,4,高德地图电话推广专员（双休不加班）,山西智胜传媒科技股份有限公司,3.5k-12k,专科及以上,招聘 15人,专业不限,山西省太原市,06-16 11:46,通信/电信设备、运营、增值服务,股份制企业,50-99人,,1,1fa85410334f,https://www.ncss.cn/student/jobs/PVHA8u8YUJGWH1yPaXfYpm/detail.html
226,226-街电共享充电宝市场推广（带薪培训）-湖北竹芒科技有限公司.md,直接相关,4,街电共享充电宝市场推广（带薪培训）,湖北竹芒科技有限公司,7k-15k,不限,招聘 30人,不限 市场营销,湖北省武汉市江岸区,07-16 09:27,计算机硬件,民营企业,1000-4999人,,1,0fd51ea130e8,https://www.ncss.cn/student/jobs/Nf4NQ7WbAXVYFxFY3JgFLk/detail.html
227,227-商务专员（合肥办事处）-成都古蜀味道商贸有限公司.md,直接相关,4,商务专员（合肥办事处）,成都古蜀味道商贸有限公司,6k-20k,专科及以上,招聘 5人,专业不限,安徽省合肥市包河区,08-04 09:14,市场推广/运营,民营企业,100-499人,,1,0d08e780bf52,https://www.ncss.cn/student/jobs/DWUnuHu4KEkehY594ejyGF/detail.html
228,228-新媒体运营-长沙振祥房地产经纪有限责任公司.md,直接相关,4,新媒体运营,长沙振祥房地产经纪有限责任公司,3k-6k,不限,招聘 6人,专业不限,湖南省长沙市,08-02 10:35,房地产/建筑/建材/工程,其他,5000以上,,1,720b8752ffe4,https://www.ncss.cn/student/jobs/JdbgiY4y9MQYAJVkjSb3Su/detail.html
229,229-小程序运营专员-北京这里很亮文化传媒有限公司.md,直接相关,4,小程序运营专员,北京这里很亮文化传媒有限公司,4.5k-6k,本科及以上,招聘 人数不限,ID AI PS 要求会设计排版,北京市顺义区,07-10 16:47,媒体/出版/影视/文化传播,民营企业,1-49人,,1,76c5d404173b,https://www.ncss.cn/student/jobs/4bJUe2BzHDKFveRrYt2R7E/detail.html
230,230-4S店市场专员-天津佳途良华汽车服务有限公司.md,直接相关,4,4S店市场专员,天津佳途良华汽车服务有限公司,5k-7k,专科及以上,招聘 1人,专业不限,天津市东丽区,07-01 09:25,汽车/摩托车（制造/维护/配件/销售/服务）,民营企业,50-99人,,1,cc76a01b48b6,https://www.ncss.cn/student/jobs/6z59NhSwaGv4PRNcqU7aWp/detail.html
231,231-招商运营主管专员-河南省优悠商贸有限公司.md,直接相关,4,招商运营主管/专员,河南省优悠商贸有限公司,4k-6k,本科及以上,招聘 3人,统招本科及以上学历,河南省周口市,07-21 15:58,租赁服务,民营企业,50-99人,,1,a39a6418769d,https://www.ncss.cn/student/jobs/7gCMm1Cqg4hA6JPGmyGUZa/detail.html
232,232-新媒体网络推广专员-贵州律源网络科技有限责任公司.md,直接相关,4,新媒体网络推广专员,贵州律源网络科技有限责任公司,3.5k-6k,专科及以上,招聘 4人,工商管理类 经济学门类 法学门类 文学门类 计算机类等,贵州省贵阳市观山湖区,07-24 13:36,互联网/电子商务,民营企业,1-49人,,1,dcf34a0ef869,https://www.ncss.cn/student/jobs/CSKEB3rV5TPEvZhbC8mcnx/detail.html
233,233-无责底薪6k—运营助理-畅研（天津）科技有限公司.md,直接相关,4,无责底薪6k—运营助理,畅研（天津）科技有限公司,7k-9k,本科及以上,招聘 1人,专业不限,天津市西青区,07-06 11:24,学术/科研,民营企业,1-49人,,1,f952eb37d983,https://www.ncss.cn/student/jobs/TP1HECLkDSonr5Kz1MfYwX/detail.html
234,234-市场助理-东莞市南城高盛培训中心.md,直接相关,4,市场助理,东莞市南城高盛培训中心,5k-8k,本科及以上,招聘 5人,专业不限,广东省东莞市,06-12 11:14,教育/培训/院校,民营企业,1-49人,,1,2c41994f7ac4,https://www.ncss.cn/student/jobs/GeqSdYNr7GdCTuMbPFHhij/detail.html
235,235-品牌公关顾问-天津华声企讯网络科技有限公司.md,直接相关,4,品牌公关顾问,天津华声企讯网络科技有限公司,10k-15k,专科及以上,招聘 10人,市场营销 经济 管理 互联网 媒体 电子商务,天津市河东区,07-30 11:20,互联网/电子商务,民营企业,50-99人,,1,cc8f734c6ed7,https://www.ncss.cn/student/jobs/UnQLTM7QgiLdHC85jR9pJ6/detail.html
236,236-数据产品运营-中国平安财产保险股份有限公司上海分公司.md,直接相关,4,数据产品运营,中国平安财产保险股份有限公司上海分公司,6k-9k,专科及以上,招聘 3人,哲学 经济学 教育学 文学 工学 管理学 艺术类,全国,08-03 10:00,保险,股份制企业,1000-4999人,,1,f06fc099fd4a,https://www.ncss.cn/student/jobs/SYJoUFWGdnBPZxXaFwxEQ2/detail.html
237,237-KA大客户销售（双休+五险）-山西智胜传媒科技股份有限公司.md,直接相关,4,KA大客户销售（双休+五险）,山西智胜传媒科技股份有限公司,7k-12k,专科及以上,招聘 1人,专业不限,山西省太原市,06-16 11:46,通信/电信设备、运营、增值服务,股份制企业,50-99人,,1,ca171772bfb1,https://www.ncss.cn/student/jobs/Snxp3W3WcZpQMDy3Yd2qBD/detail.html
238,238-TIKTOK跨境电商运营助理-零一时代（天津）科技有限公司.md,直接相关,4,TIKTOK跨境电商运营助理,零一时代（天津）科技有限公司,3k-6k,不限,招聘 5人,专业不限,天津市河东区,07-29 11:35,教育/培训/院校,民营企业,1-49人,,1,71bb56d44ea8,https://www.ncss.cn/student/jobs/GSRkTrTEW7iMRa3qfvma7b/detail.html
239,239-电商运营-阳光人寿保险股份有限公司成都电话销售中心.md,直接相关,4,电商运营,阳光人寿保险股份有限公司成都电话销售中心,10k-18k,本科及以上,招聘 3人,哲学 逻辑学 宗教学 伦理学 经济学 财政学 金融学 经济与贸易 金融学 金融工程 国际经济与贸易 体育学 教育学 科学教育 人文教育 教育技术学 艺术教育 学前教育 小学教育 特殊教育 华文教育 中国语言文学 外国语言文学 新闻传播学 汉语言文学 汉语言 汉语国际教育 中国少数民族语言文学 古典文献学 应用语言学 秘书学 力学 能源动力 电气 电子信息 自动化 计算机 土木 水利 测绘 农门学 医学类,全国,07-24 10:09,投资/基金/证券/期货,股份制企业,1000人以上,,1,f1cf5ae9df73,https://www.ncss.cn/student/jobs/WAnZnq1r4xUKZU6gAX7ss/detail.html
240,240-新媒体运营-湖北策智科技有限公司.md,直接相关,4,新媒体运营,湖北策智科技有限公司,3.5k-4k,专科及以上,招聘 10人,专业不限,全国,08-04 10:49,互联网/电子商务,民营企业,50-99人,,1,879ed7e94ec3,https://www.ncss.cn/student/jobs/TEPXzAirqm9Zt3drsTMbfN/detail.html
241,241-社群运营实习生-北京迷彩元创文化传媒有限公司.md,直接相关,4,社群运营实习生,北京迷彩元创文化传媒有限公司,3k-4k,不限,招聘 2人,专业不限,北京市顺义区,07-09 14:06,媒体/出版/影视/文化传播,其他,50-99人,,1,2249c3a9c52d,https://www.ncss.cn/student/jobs/SgXwZfmH2YaRYcaTDLa9pQ/detail.html
242,242-市场营销专员-武汉市金马游乐设备有限公司.md,直接相关,4,市场营销专员,武汉市金马游乐设备有限公司,8k-12k,本科及以上,招聘 2人,市场营销，国际经济与贸易,广东省中山市,07-17 15:27,机械制造/机电/重工,上市公司,500-999人,,1,3d7e9d9281ca,https://www.ncss.cn/student/jobs/CBzbE7iiC4kFNqp9Wr9HYe/detail.html
243,243-家装业务员市场专员渠道专员-天津市创之鸿装饰工程有限公司.md,直接相关,4,家装业务员/市场专员/渠道专员,天津市创之鸿装饰工程有限公司,5k-10k,不限,招聘 5人,专业不限,天津市南开区,06-29 17:31,家居/室内设计/装饰装潢,民营企业,50-99人,,1,f5c854544648,https://www.ncss.cn/student/jobs/8sFz6QPerctYJa5rA8bFCy/detail.html
244,244-国内电商运营助理-益阳市九意供应链有限公司.md,直接相关,4,国内电商运营助理,益阳市九意供应链有限公司,3k-9k,专科及以上,招聘 人数不限,电商专业,湖南省益阳市,07-15 10:36,批发/零售,民营企业,100-499人,,1,e6e0693a7fca,https://www.ncss.cn/student/jobs/47rBpJzsYdE2RnMRw5cBa2/detail.html
245,245-跨境电商运营助理-杭州原石层文化创意有限公司.md,直接相关,4,跨境电商运营助理,杭州原石层文化创意有限公司,3k-20k,专科及以上,招聘 10人,电子商务/商务英语/数字媒体/网络营销与直播电商/计算机相关,浙江省义乌市,07-29 19:43,互联网/电子商务,民营企业,50-99人,,1,91b2e36fb35a,https://www.ncss.cn/student/jobs/4THtEY8m7ZaVmUHU87NW4f/detail.html
246,246-渠道运营经理-中国平安财产保险股份有限公司上海分公司.md,直接相关,4,渠道运营经理,中国平安财产保险股份有限公司上海分公司,8k-15k,本科及以上,招聘 2人,经济管理 金融 国际贸易 保险 银行 证券 电子商务 人力资源 汉语言文学 计算机 机械,全国,08-03 10:00,保险,股份制企业,1000-4999人,,1,b477dff2d3de,https://www.ncss.cn/student/jobs/LeHeRT81A1MYwF5y2Sv49C/detail.html
247,247-市场营销-扬帆集团股份有限公司.md,直接相关,4,市场营销,扬帆集团股份有限公司,6k-8k,专科及以上,招聘 3人,船舶与海洋工程、轮机工程、等与船舶相关专业,浙江省舟山市普陀区,07-20 15:53,机械制造/机电/重工,民营企业,500-999人,,1,569709f2f826,https://www.ncss.cn/student/jobs/RC13a25MbDFsoxVezu3W7J/detail.html
248,248-电商与新媒体运营教师（教学骨干岗）-福建天之均教育科技有限公司.md,直接相关,4,电商与新媒体运营教师（教学骨干岗）,福建天之均教育科技有限公司,5k-10k,本科及以上,招聘 10人,电子商务 新媒体传播 市场营销 广告学,福建省泉州市,07-27 14:11,互联网/电子商务,民营企业,1-49人,,1,881379bdcbdd,https://www.ncss.cn/student/jobs/Lkq3c7PBgiXm8r26asg8Kk/detail.html
249,249-新媒体运营助理-惠州市路顺安交通设备有限公司.md,直接相关,4,新媒体运营助理,惠州市路顺安交通设备有限公司,3k-5k,不限,招聘 20人,专业不限,全国,08-04 13:59,房地产/建筑/建材/工程,民营企业,100-499人,,1,512b65c4ee31,https://www.ncss.cn/student/jobs/Jxii2Es1jfgX7AzPnmdW9N/detail.html
250,250-市场经理-平安点创国际融资租赁有限公司.md,直接相关,4,市场经理,平安点创国际融资租赁有限公司,10k-18k,本科及以上,招聘 2人,哲学 逻辑学 宗教学 伦理学 经济学 财政学 金融学 经济与贸易 金融学 金融工程 国际经济与贸易 体育学 教育学 科学教育 人文教育 教育技术学 艺术教育 学前教育 小学教育 特殊教育 华文教育 中国语言文学 外国语言文学 新闻传播学 汉语言文学 汉语言 汉语国际教育 中国少数民族语言文学 古典文献学 应用语言学 秘书学 力学 能源动力 电气 电子信息 自动化 计算机 土木 水利 测绘 农门学 医学类 不限专业,全国,08-03 12:12,租赁服务,民营企业,100-499人,,1,6ddf36766ec0,https://www.ncss.cn/student/jobs/Ppv5CxNtqoQJDFgaSUuD67/detail.html
251,251-酒店私域运营专员-上海简兮酒店管理有限公司.md,直接相关,4,酒店私域运营 专员,上海简兮酒店管理有限公司,10k-15k,本科及以上,招聘 2人,哲学 逻辑学 宗教学 伦理学 经济学 财政学 金融学 经济与贸易 金融学 金融工程 国际经济与贸易 体育学 教育学 科学教育 人文教育 教育技术学 艺术教育 学前教育 小学教育 特殊教育 华文教育 中国语言文学 外国语言文学 新闻传播学 汉语言文学 汉语言 汉语国际教育 中国少数民族语言文学 古典文献学 应用语言学 秘书学 力学 能源动力 电气 电子信息 自动化 计算机 土木 水利 测绘 农门学 医学类,全国,07-05 14:52,酒店/餐饮,民营企业,1-49人,,1,37b1333c5cb0,https://www.ncss.cn/student/jobs/TsWLAQjQcpJkUWCc1M8dQR/detail.html
252,252-新媒体运营-广西贵港市博智教育管理有限公司.md,直接相关,4,新媒体运营,广西贵港市博智教育管理有限公司,3.8k-6k,专科及以上,招聘 8人,专业不限,广西贵港市,08-03 12:23,教育/培训/院校,民营企业,50-99人,,1,ea9f4505ea9f,https://www.ncss.cn/student/jobs/3XhwPuVJ761DM4j7Vci5rA/detail.html
253,253-互联网运营实习生-宠爱（天津）网络信息技术有限责任公司.md,直接相关,4,互联网运营实习生,宠爱（天津）网络信息技术有限责任公司,0.5k-2k,本科及以上,招聘 58人,市场营销，互联网,全国,07-28 11:23,互联网/电子商务,民营企业,1-49人,,1,c2097e31369d,https://www.ncss.cn/student/jobs/JMR2ce5sNxSpVhbgF7orsV/detail.html
254,254-抖音运营助理-郑州权良科技有限公司.md,直接相关,4,抖音运营助理,郑州权良科技有限公司,2k-5k,不限,招聘 人数不限,专业不限,全国,07-21 16:04,互联网/电子商务,民营企业,50-99人,,1,57834e898019,https://www.ncss.cn/student/jobs/KKe3yZkEdAH7R73zZyvAF8/detail.html
255,255-新媒体运营专员-黑龙江省必须火科技传媒有限公司.md,直接相关,4,新媒体运营专员,黑龙江省必须火科技传媒有限公司,3.8k-10k,专科及以上,招聘 2人,专业不限,黑龙江省绥化市北林区,06-11 14:29,媒体/出版/影视/文化传播,民营企业,1-49人,,1,80c6b5316997,https://www.ncss.cn/student/jobs/FigXbH7xbj5ACB2L9PjBq4/detail.html
256,256-飞机资产数据分析岗-横琴小翼飞机技术有限公司.md,直接相关,3,飞机资产数据分析岗,横琴小翼飞机技术有限公司,5k-10k,本科及以上,招聘 2人,数学 统计学 会计学 经济学 金融工程等相关专业,广东省广州市花都区,08-04 10:46,航空/航天研究与制造,民营企业,1-49人,,1,980c444611aa,https://www.ncss.cn/student/jobs/4Fp4HvL2iqC9UoHKUTfp6K/detail.html
257,257-跨境运营助理-深圳市创领跑科技有限公司.md,直接相关,3,跨境运营助理,深圳市创领跑科技有限公司,4k-9k,专科及以上,招聘 20人,电子商务 计算机 工商管理 商务英语,广东省深圳市,06-25 09:49,互联网/电子商务,民营企业,100-499人,,1,1b409b7a1c43,https://www.ncss.cn/student/jobs/Fgto8ox1hqFgvtyPvzsyNt/detail.html
258,258-商务拓展实习生+无责4200（男生爱打篮球有限，销售经验优先-浙江华企信息科技有限公司南通分公司.md,直接相关,3,商务拓展实习生+无责4200（男生爱打篮球有限，销售经验优先）,浙江华企信息科技有限公司南通分公司,8k-10k,专科及以上,招聘 5人,市场营销 工商管理 电子商务 旅游管理,江苏省南通市,07-07 21:09,计算机服务（系统/数据/维护/安全）,民营企业,500-999人,,1,bc99ff17927f,https://www.ncss.cn/student/jobs/6AFjY9PQDBqeCzd9aiVpTH/detail.html
259,259-3D三维设计师-拓维思创公关顾问（北京）有限责任公司.md,直接相关,3,3D三维设计师,拓维思创公关顾问（北京）有限责任公司,5k-8k,专科及以上,招聘 1人,舞美设计 艺术设计 空间设计 园林设计 室内设计,北京市朝阳区,07-24 10:55,广告/公关/会展,民营企业,1-49人,,1,4460751101d3,https://www.ncss.cn/student/jobs/SUryXMwVEL4NBzSooE8jw8/detail.html
260,260-2D平面设计师-拓维思创公关顾问（北京）有限责任公司.md,直接相关,3,2D平面设计师,拓维思创公关顾问（北京）有限责任公司,5k-8k,专科及以上,招聘 1人,平面设计 艺术设计 美术设计,北京市朝阳区,07-24 10:55,广告/公关/会展,民营企业,1-49人,,1,29b84bf76402,https://www.ncss.cn/student/jobs/CvjGACvSzyyFazaxDvW8C2/detail.html
261,261-活动专员-拓维思创公关顾问（北京）有限责任公司.md,直接相关,3,活动专员,拓维思创公关顾问（北京）有限责任公司,2k-4k,专科及以上,招聘 2人,平面设计、三维设计、会展专业、会计专业,北京市朝阳区,07-23 12:41,广告/公关/会展,民营企业,1-49人,,1,c50387c3ff80,https://www.ncss.cn/student/jobs/XggpFx16LdYNE4hiz7ZqS9/detail.html
262,262-数据分析实习生-上海元哲信息咨询有限公司.md,直接相关,3,数据分析实习生,上海元哲信息咨询有限公司,2k-5k,本科及以上,招聘 2人,经济学 统计学 商科 计算机 数学市场营销 其他,上海市徐汇区,07-29 13:47,专业服务（财会/法律/翻译/人力资源等）,民营企业,1-49人,,1,66817baaf2bf,https://www.ncss.cn/student/jobs/Vzr2s2r1MDQ5fXs1YcRJJu/detail.html
263,263-销售管培生（大客户方向）-铂悦高速技术(苏州)有限公司.md,直接相关,3,销售管培生（大客户方向）,铂悦高速技术(苏州)有限公司,7k-10k,专科及以上,招聘 5人,材料 电子信息 电力电气 机械 计算机,江苏省苏州市虎丘区,06-23 16:07,通信/电信设备、运营、增值服务,民营企业,100-499人,,1,08f167f8eb28,https://www.ncss.cn/student/jobs/RyHMfm7fTF4w4G5DhuHSb8/detail.html
264,264-运营助理+五险一金+无责底薪5800-重庆念惠科技有限公司.md,直接相关,3,运营助理+五险一金+无责底薪5800,重庆念惠科技有限公司,6k-9k,专科及以上,招聘 10人,市场营销 电子商务 国际贸易 财务管理 学前教育 化学工程,全国,06-09 15:22,通信/电信设备、运营、增值服务,民营企业,1-49人,,1,a951251c328d,https://www.ncss.cn/student/jobs/T249qsYCZPdkM8wcQL4mmw/detail.html
265,265-国际会议运营与推广专员-西安华线石油科技有限公司.md,直接相关,3,国际会议运营与推广专员,西安华线石油科技有限公司,6k-10k,本科及以上,招聘 5人,市场营销 工商管理 英语 行政管理 国际贸易 石油化工 环境工程 机械电子地质勘察,陕西省西安市,07-13 09:45,石油/石化/化工,民营企业,50-99人,,1,cf6062ebb9bc,https://www.ncss.cn/student/jobs/76LLgRtKNK53bE36eXdSKj/detail.html
266,266-商务专员-重庆杏林信息科技有限公司.md,直接相关,3,商务专员,重庆杏林信息科技有限公司,5k-8k,本科及以上,招聘 10人,不限专业,重庆市渝北区,06-15 16:48,计算机软件,民营企业,100-499人,,1,640185e5b34c,https://www.ncss.cn/student/jobs/JRc1GYezRbyUNufagP2XXA/detail.html
267,267-管理培训生（企划营销方向）-红星美凯龙世博（天津）家居生活广场有限公司.md,直接相关,3,管理培训生（企划营销方向）,红星美凯龙世博（天津）家居生活广场有限公司,6k-10k,本科及以上,招聘 2人,视觉传达 市场营销 策划类,天津市河东区,07-31 17:01,家居/室内设计/装饰装潢,上市公司,5000以上,,1,63508053c8b4,https://www.ncss.cn/student/jobs/P552BEFhMSahsQm3MvG7m8/detail.html
268,268-推广专员-升云科技（北京）有限公司.md,直接相关,3,推广专员,升云科技（北京）有限公司,1k-8k,不限,招聘 98人,专业不限,北京市海淀区,06-25 16:40,计算机软件,民营企业,1-49人,,1,82e92d5e44c2,https://www.ncss.cn/student/jobs/JMe6ig9ZmmvrqadDBNRzUa/detail.html
269,269-市场营销专员-北京聚海讯达新能源科技有限公司.md,直接相关,3,市场营销专员,北京聚海讯达新能源科技有限公司,7k-12k,本科及以上,招聘 3人,电力、市场营销、能源经济,北京市海淀区,07-30 11:21,电气/电力/水利,民营企业,1-49人,,1,dfc2274b6b5a,https://www.ncss.cn/student/jobs/9zKv5DiH5qmcKgdtJZN4qF/detail.html
270,270-产品运营助理【接受小白+提供住宿】-徐州汇恩智企业管理咨询有限公司.md,直接相关,3,产品运营助理【接受小白+提供住宿】,徐州汇恩智企业管理咨询有限公司,3k-5k,专科及以上,招聘 10人,专业不限,江苏省徐州市,08-03 11:55,市场推广/运营,民营企业,1-49人,,1,6c943a211d5a,https://www.ncss.cn/student/jobs/FLvCZe4JQJGqvqsFpDFSVM/detail.html
271,271-商务经理校招生-深圳轻喜到家科技有限公司.md,直接相关,3,商务经理校招生,深圳轻喜到家科技有限公司,6k-10k,专科及以上,招聘 5人,专业不限,广东省深圳市市辖区,06-11 10:56,互联网/电子商务,民营企业,5000以上,,1,38dead2b9f5f,https://www.ncss.cn/student/jobs/CxPe3bk3CrzUBgd1zRCWXW/detail.html
272,272-产品运营助理-重庆青藤蔓蔓科技有限公司.md,直接相关,3,产品运营助理,重庆青藤蔓蔓科技有限公司,6k-10k,专科及以上,招聘 20人,市场营销 电子商务 财务管理 学前教育 工商管理,重庆市两江新区,07-13 09:34,通信/电信设备、运营、增值服务,其他,50-99人,,1,2ffa277f7670,https://www.ncss.cn/student/jobs/6t8SDafMqZNpb1bKKqweEV/detail.html
273,273-营销策划-昆明川亿洲科技有限公司.md,直接相关,3,营销策划,昆明川亿洲科技有限公司,3k-7k,不限,招聘 人数不限,市场营销,云南省昆明市,06-12 15:53,市场推广/运营,民营企业,50-99人,,1,7f7797626661,https://www.ncss.cn/student/jobs/YW3jD2TFw7qfAnr7PAqGSV/detail.html
274,274-市场营销管理-福州锡安嘉行电子科技有限公司.md,直接相关,3,市场营销管理,福州锡安嘉行电子科技有限公司,8k-12k,专科及以上,招聘 8人,专业不限,福建省福州市,07-24 11:04,市场推广/运营,其他,1-49人,,1,417d2b3ccd80,https://www.ncss.cn/student/jobs/44L1j2RHzrNB2BEcLTqmAs/detail.html
275,275-校园渠道专员-中科云讯息(沈阳)网络科技有限公司.md,直接相关,3,校园渠道专员,中科云讯息(沈阳)网络科技有限公司,8k-18k,本科及以上,招聘 1人,物理、光电、自动化、化学、生物、信息学院,辽宁省沈阳市浑南区,06-17 14:36,互联网/电子商务,民营企业,1-49人,,1,de2dbd81923b,https://www.ncss.cn/student/jobs/HoPCVhUZ5fzGemm4Uoaz4Q/detail.html
276,276-船舶环保市场营销-浙江菲达澜创环保科技有限公司.md,直接相关,3,船舶环保市场营销,浙江菲达澜创环保科技有限公司,8k-12k,本科及以上,招聘 2人,专业不限,浙江省杭州市余杭区,06-17 10:40,环保,民营企业,1-49人,,1,4656301c92fb,https://www.ncss.cn/student/jobs/QZYd8iMTWdPWDYYWR5Sssq/detail.html
277,277-市场经理-日照瑞弘嘉信息技术有限公司.md,直接相关,3,市场经理,日照瑞弘嘉信息技术有限公司,5k-10k,专科及以上,招聘 2人,专业不限,山东省日照市,07-06 13:31,互联网/电子商务,民营企业,1000-4999人,,1,ee4a0cf37fbd,https://www.ncss.cn/student/jobs/KBbKQYHCbQy7Rwcf5Wv8c5/detail.html
278,278-商务专员-中山志源电子科技有限公司.md,直接相关,3,商务专员,中山志源电子科技有限公司,5k-7k,本科及以上,招聘 3人,工商管理 财务 会计 统计学,广东省中山市,07-30 14:10,电子技术/半导体/集成电路,民营企业,100-499人,,1,47b761272828,https://www.ncss.cn/student/jobs/XqNDRUARaSyw2sbV8DgwWy/detail.html
279,279-产品运营助理【接受小白+提供住宿】-量熵智能网络科技(徐州)有限公司.md,直接相关,3,产品运营助理【接受小白+提供住宿】,量熵智能网络科技(徐州)有限公司,4k-8k,专科及以上,招聘 10人,不限,江苏省徐州市,08-03 11:55,互联网/电子商务,其他,50-99人,,1,6ef296b50091,https://www.ncss.cn/student/jobs/Y56R65rAsTRsF9fuHt2KUc/detail.html
280,280-市场专员（河南驻马店）-河南校信通教育科技有限公司.md,直接相关,3,市场专员（河南驻马店）,河南校信通教育科技有限公司,4k-6k,本科及以上,招聘 2人,专业不限,河南省驻马店市,07-23 15:20,互联网/电子商务,民营企业,100-499人,,1,1364a75310de,https://www.ncss.cn/student/jobs/VXcaFFKSwJHRyCvtFRs37J/detail.html
281,281-市场专员（河南许昌）-河南校信通教育科技有限公司.md,直接相关,3,市场专员（河南许昌）,河南校信通教育科技有限公司,4k-6k,本科及以上,招聘 2人,专业不限,河南省许昌市,07-23 15:20,互联网/电子商务,民营企业,100-499人,,1,3734d8aec3fe,https://www.ncss.cn/student/jobs/PU6drLKMzGGdQQWxZVVqWm/detail.html
282,282-市场专员（河南安阳）-河南校信通教育科技有限公司.md,直接相关,3,市场专员（河南安阳）,河南校信通教育科技有限公司,4k-6k,本科及以上,招聘 2人,专业不限,河南省安阳市,07-23 15:20,互联网/电子商务,民营企业,100-499人,,1,04016ad358d8,https://www.ncss.cn/student/jobs/PQgLiVmbFM3uGcRiSYFbR8/detail.html
283,283-市场专员（河南濮阳）-河南校信通教育科技有限公司.md,直接相关,3,市场专员（河南濮阳）,河南校信通教育科技有限公司,4k-6k,本科及以上,招聘 2人,专业不限,河南省濮阳市,07-23 15:20,互联网/电子商务,民营企业,100-499人,,1,d84661757d52,https://www.ncss.cn/student/jobs/NLmezH5enmaw9AKhAeY6TC/detail.html
284,284-58同城本地服务推广专员-海南省科狄网络科技有限公司.md,直接相关,3,58同城本地服务推广专员,海南省科狄网络科技有限公司,3k-10k,不限,招聘 5人,市场营销,海南省海口市,07-31 10:40,市场推广/运营,民营企业,50-99人,,1,7ff896d083ca,https://www.ncss.cn/student/jobs/8nKGTm9WFBB1jxHRnW2e45/detail.html
285,285-用户运营-北京易低优科技有限公司.md,直接相关,3,用户运营,北京易低优科技有限公司,6k-10k,专科及以上,招聘 12人,无,北京市东城区,08-03 15:26,教育/培训/院校,民营企业,50-99人,,1,7b7714099f6f,https://www.ncss.cn/student/jobs/QgnSxLqYZKBBAGQzCvbP5x/detail.html
286,286-内容运营（27届实习）-湖北策智科技有限公司.md,直接相关,3,内容运营（27届实习）,湖北策智科技有限公司,3.5k-4k,专科及以上,招聘 10人,专业不限,全国,07-30 15:20,互联网/电子商务,民营企业,50-99人,,1,9645de832015,https://www.ncss.cn/student/jobs/99gC24VXawEoJy1u6wRgmm/detail.html
287,287-市场部专员-河南悦昊哲营销策划有限公司.md,直接相关,3,市场部专员,河南悦昊哲营销策划有限公司,4k-6k,专科及以上,招聘 4人,医学药学相关专业,河南省郑州市管城回族区,07-27 14:46,医疗/护理/卫生服务,民营企业,50-99人,,1,e8a50360bfae,https://www.ncss.cn/student/jobs/Rj7wHpBrjBZoLsFxhd8tmy/detail.html
288,288-电商运营助理-浙江景曜拍卖有限公司.md,直接相关,3,电商运营助理,浙江景曜拍卖有限公司,5k-7k,专科及以上,招聘 20人,工商管理 市场营销 电子商务 人力资源管理 网络营销与新媒体电商 新闻与传播 移动商务 工商企业管理 财务管理 大数据会计 计算机网络技术 融媒体技术与运营 国际经济与贸易 商务英语 广告艺术设计 跨境电子商务 数字媒体技术,浙江省义乌市,07-06 10:45,互联网/电子商务,民营企业,50-99人,,1,7dfb7756880f,https://www.ncss.cn/student/jobs/WbWqDFUUiYHJSuZpa2bVJY/detail.html
