序号,文件,相关度,相关度分值,职位,招聘主体,薪资,学历,招聘人数,专业,地区,更新时间,所属行业,公司性质,公司规模,技术关键词,同模板条数,JD指纹,详情页
114,114-新媒体运营-北京惠钧国际健康管理有限责任公司.md,直接相关,8,新媒体运营,北京惠钧国际健康管理有限责任公司,5k-8k,专科及以上,招聘 3人,专业不限,北京市丰台区,07-23 14:33,美容/保健,民营企业,1-49人,,1,7dea6e43b255,https://www.ncss.cn/student/jobs/XnEPuANQtvjWP3CxXdSDpp/detail.html
115,115-电商药品运营专员-江苏肽镁联合医药有限公司.md,直接相关,8,电商药品运营专员,江苏肽镁联合医药有限公司,5k-7k,本科及以上,招聘 1人,药学 医学 市场营销 电子商务,江苏省南京市江宁区,08-03 17:19,制药/生物工程,民营企业,1-49人,,1,4c38d07b1114,https://www.ncss.cn/student/jobs/ArcJTsP6ZMy7UVX8j6Mpa3/detail.html
116,116-电商运营-北京来远阳心理咨询有限公司.md,直接相关,8,电商运营,北京来远阳心理咨询有限公司,2k-5k,专科及以上,招聘 2人,市场营销 电子商务 网络营销 直播电商 心理学,全国,06-08 10:46,娱乐/体育/休闲,民营企业,1-49人,,1,5b834ab5513a,https://www.ncss.cn/student/jobs/AvpU2ZiCp4sBwjQi3PKE2u/detail.html
117,117-市场专员-莲葆健康科技（云南）有限公司.md,直接相关,8,市场专员,莲葆健康科技（云南）有限公司,5k-10k,本科及以上,招聘 3人,市场营销、计算机技术,云南省昆明市,07-30 11:14,计算机软件,民营企业,100-499人,,1,1fdec609a4d3,https://www.ncss.cn/student/jobs/WSeWPgZu67dR3mDzGNbVMR/detail.html
118,118-社交媒体运营专员-中国平安财产保险股份有限公司上海分公司.md,直接相关,8,社交媒体运营专员,中国平安财产保险股份有限公司上海分公司,8k-15k,专科及以上,招聘 3人,经济管理 金融 国际贸易 保险 银行 证券 电子商务 人力资源 汉语言文学 计算机 机械 投资 财务 会计 工商管理 行政 人力资源 国贸,全国,08-03 10:00,保险,股份制企业,1000-4999人,,1,cd29151a1cf4,https://www.ncss.cn/student/jobs/D9SUrU7BDYJ5JafMNDDoj5/detail.html
119,119-电商运营专员-深圳市美创生活实业有限公司.md,直接相关,8,电商运营专员,深圳市美创生活实业有限公司,6k-8k,专科及以上,招聘 6人,专业不限,天津市和平区,08-04 10:44,贸易/进出口,民营企业,100-499人,,1,639a359c029c,https://www.ncss.cn/student/jobs/8aaJ7ytHeCim9wfUzJbupv/detail.html
120,120-媒介执行-北京今日直猎网络科技有限公司.md,直接相关,8,媒介执行,北京今日直猎网络科技有限公司,4.5k-4.5k,本科及以上,招聘 2人,财务专业 金融专业 传媒专业 审计专业 市场营销 英语 广告 设计 写作,江苏省无锡市,07-23 14:38,专业服务（财会/法律/翻译/人力资源等）,民营企业,1-49人,,1,6dca604936eb,https://www.ncss.cn/student/jobs/MYTCXowhrShgiLrrs2xyDe/detail.html
121,121-线上运营专员-中国平安财产保险股份有限公司上海分公司.md,直接相关,8,线上运营专员,中国平安财产保险股份有限公司上海分公司,8k-15k,专科及以上,招聘 2人,经济管理 金融 国际贸易 保险 银行 证券 电子商务 人力资源 汉语言文学 计算机 机械国际经济与贸易 市场营销 财政学 法学 对外汉语 雕塑 表演 播音与主持艺术 广播电视编导 艺术设计 戏剧影视美术设计 摄影 动画 应用物理学 天文学 应用气象学 海洋科学 电子信息科学与技术 光信息科学与技术 环境科学 应用心理学 高分子材料与工程 热能与动力工程 电子信息工程 通信工程 生物医学与工程 城市规划 环境工程 制药,全国,08-03 10:00,保险,股份制企业,1000-4999人,,1,45b04c62f71b,https://www.ncss.cn/student/jobs/TaYCUV8gj9BZaQ1vGmtvKA/detail.html
122,122-新媒体运营-天津天正亿科通讯技术有限公司.md,直接相关,8,新媒体运营,天津天正亿科通讯技术有限公司,5k-8k,专科及以上,招聘 3人,专业不限,全国,07-31 17:12,计算机软件,民营企业,50-99人,,1,ab69ae322781,https://www.ncss.cn/student/jobs/JVHUudH6xgFm6iQ6SnRgp7/detail.html
123,123-新媒体运营-上海易洪房地产经纪有限公司.md,直接相关,8,新媒体运营,上海易洪房地产经纪有限公司,5k-8k,专科及以上,招聘 3人,专业不限,四川省成都市,08-04 10:00,房地产/建筑/建材/工程,民营企业,100-499人,,1,ec27806014de,https://www.ncss.cn/student/jobs/QSeiqDPwJatBw9R2cavrrV/detail.html
124,124-AI视觉内容设计创作实习生（品牌营销方向）-北京运通华靖信息咨询有限公司.md,直接相关,7,AI 视觉内容设计创作实习生（品牌营销方向）,北京运通华靖信息咨询有限公司,0.8k-4k,不限,招聘 1人,专业不限,全国,07-21 15:54,专业服务（财会/法律/翻译/人力资源等）,民营企业,1-49人,,1,c7cdbffd39af,https://www.ncss.cn/student/jobs/XSQuJ2LquNZGjtn3wtAHTM/detail.html
125,125-跨境电商运营-深圳市亿和信科技有限公司.md,直接相关,7,跨境电商运营,深圳市亿和信科技有限公司,6k-12k,专科及以上,招聘 5人,商务英语 英语相关专业,广东省深圳市龙岗区,07-29 19:39,贸易/进出口,民营企业,1-49人,,1,ab11bf95e97d,https://www.ncss.cn/student/jobs/RvSmFPkrTTqgfMRNVL2Vd3/detail.html
126,126-新媒体运营-深圳市金丰化妆用具有限公司.md,直接相关,7,新媒体运营,深圳市金丰化妆用具有限公司,4k-8k,专科及以上,招聘 1人,媒体 传媒 摄影,广东省深圳市,07-30 11:15,贸易/进出口,民营企业,1-49人,,1,6647e2f6bcee,https://www.ncss.cn/student/jobs/GVB93wxL94jR51WVsQqVdb/detail.html
127,127-活动策划-浙江菱格木业有限公司.md,直接相关,7,活动策划,浙江菱格木业有限公司,4k-6k,专科及以上,招聘 2人,市场营销 策划 新闻学,浙江省湖州市,06-08 10:41,家居/室内设计/装饰装潢,民营企业,500-999人,,1,4d9e6e6fce9d,https://www.ncss.cn/student/jobs/A7qtqSinG6QNzPhau9Ebsf/detail.html
128,128-商务专员-江苏淘金无忧创投投资管理有限公司.md,直接相关,7,商务专员,江苏淘金无忧创投投资管理有限公司,1k-2k,本科及以上,招聘 17人,互联网、市场营销、工商管理、金融、财务管理、传媒、设计、播音、中文、法学等相关专业优先,江苏省南京市江宁区,07-06 14:00,通信/电信设备、运营、增值服务,民营企业,50-99人,,1,a7c39538ce81,https://www.ncss.cn/student/jobs/9ck4a3Lm9T8TPzSFfdxHyU/detail.html
129,129-亚马逊联盟营销专员-深圳市飞鸟蓝鲸数字营销有限公司.md,直接相关,7,亚马逊联盟营销专员,深圳市飞鸟蓝鲸数字营销有限公司,5k-8k,本科及以上,招聘 2人,专业不限,湖南省长沙市,06-16 10:00,互联网/电子商务,民营企业,1-49人,,1,8432afaddf21,https://www.ncss.cn/student/jobs/361PWNPRLYQzpLaH2nsQ44/detail.html
